Wavelength,Absorbance,Types
484.868,0.529,Crude Oil
264.909,0.485,Transformer Oil
492.763,0.484,Crude Oil
450.658,0.674,Refined Oil
764.512,0.438,Sunflower Oil
228.97,2.059,Transformer Oil
353.508,2.934,Sunflower Oil
330.812,3.333,Canola Oil
202.424,1.869,Transformer Oil
209.03,2.491,Transformer Oil
391.96,0.122,Raspberry Oil
221.045,1.905,Olive Oil
308.97,0.043,Transformer Oil
208.559,0.595,Sunflower Oil
381.579,0.176,Refined Oil
332.851,0.008,Sesame Oil
386.173,0.133,Cannabis Oil
651.444,0.438,Sunflower Oil
259.644,0.036,Flaxseed Oil
274.837,0.443,Peppermint Oil
287.5,0.226,Refined Oil
406.536,0.309,Peppermint Oil
338.58,0.108,Coconut Oil
283.769,2.19,Olive Oil
332.709,0.187,Raspberry Oil
215.03,2.839,Transformer Oil
768.226,0.433,Canola Oil
406.575,0.004,Sesame Oil
493.948,0.466,Canola Oil
265.267,0.07,Sesame Oil
393.133,0.103,Dershani Oil
224.188,0.104,Flaxseed Oil
304.136,0.077,Transformer Oil
312.942,1.038,Orange Oil
301.342,0.61,Dershani Oil
302.788,0.027,Flaxseed Oil
299.561,0.12,Transformer Oil
399.556,0.194,Carrot seed Oil
466.988,2.422,Olive Oil
368.537,0.006,Sesame Oil
229.298,1.156,Olive Oil
467.538,0.477,Canola Oil
730.277,0.055,Dershani Oil
234.2,0.111,Sesame Oil
214.803,0.204,Refined Oil
318.773,0.013,Transformer Oil
250.12,0.069,Sesame Oil
204.838,0.962,Sunflower Oil
225.333,2.587,Transformer Oil
369.649,0.128,Carrot seed Oil
298.6,0.032,Sesame Oil
680.743,0.438,Sunflower Oil
294.932,0.149,Transformer Oil
293.38,0.394,Raspberry Oil
230.142,0.356,Sunflower Oil
209.758,2.585,Transformer Oil
305.875,0.135,Carrot seed Oil
257.516,1.427,Peppermint Oil
225.722,1.029,Canola Oil
419.828,8.44E-04,Flaxseed Oil
383.357,0.118,Raspberry Oil
289.88,0.051,Sesame Oil
297.136,0.135,Transformer Oil
248.916,0.073,Sesame Oil
288.721,3.05,Sunflower Oil
293.227,0.165,Transformer Oil
346.844,0.148,Cannabis Oil
276.11,0.073,Sesame Oil
230.499,0.077,Flaxseed Oil
264.787,1.272,Olive Oil
209.211,0.199,Crude Oil
223.041,0.116,Flaxseed Oil
210.867,1.113,Canola Oil
239.636,0.572,Transformer Oil
496.699,0.48,Sunflower Oil
266.644,0.043,Flaxseed Oil
448.684,0.587,Crude Oil
275.545,0.442,Transformer Oil
234.4,0.067,Flaxseed Oil
248.366,1.823,Peppermint Oil
342.366,3.383,Sunflower Oil
291.197,3.351,Olive Oil
313.591,0.022,Transformer Oil
620.129,0.057,Sunflower Oil
469.051,0.496,Sunflower Oil
360.39,0.001,Flaxseed Oil
386.429,0.099,Coconut Oil
301.061,0.165,Carrot seed Oil
388.17,0.118,Raspberry Oil
273.684,0.197,Crude Oil
279.917,1.293,Canola Oil
238.329,0.279,Sunflower Oil
213.816,0.17,Crude Oil
226.424,2.461,Transformer Oil
348.366,0.35,Peppermint Oil
270.332,0.642,Dershani Oil
287.183,0.046,Flaxseed Oil
336.81,0.008,Sesame Oil
511.184,0.199,Crude Oil
232.773,1.403,Transformer Oil
320.688,0.008,Flaxseed Oil
230.788,1.761,Transformer Oil
301.574,0.925,Orange Oil
317.523,0.113,Coconut Oil
227.648,1.441,Olive Oil
498.684,0.402,Crude Oil
799.342,0.003,Crude Oil
390.234,2.633,Olive Oil
230.061,1.88,Transformer Oil
257.464,0.033,Flaxseed Oil
485.294,0.298,Peppermint Oil
386.093,7.14E-04,Flaxseed Oil
304.953,0.085,Paraffin Oil
237.682,0.701,Transformer Oil
